ID,Age,Age points,Age group,Sex,Job,Job points,Housing,Housing points,Saving accounts,Saving points,Checking account,Checking points,Credit amount,Credit points,Duration,Duration points,Purpose,Total score,Risk
0,67,30,41-75,male,2,20,own,20,NA,5,little,10,1169,30,6,20,radio/TV,135,Medium risk
1,22,10,<25,female,2,20,own,20,little,10,moderate,20,5951,15,48,10,radio/TV,105,Medium risk
2,49,30,41-75,male,1,10,own,20,little,10,NA,5,2096,30,12,20,education,125,Medium risk
3,45,30,41-75,male,2,20,free,5,little,10,little,10,7882,15,42,10,furniture/equipment,100,High risk
4,53,30,41-75,male,2,20,free,5,little,10,little,10,4870,15,24,10,car,100,High risk
5,35,20,25-40,male,1,10,free,5,NA,5,NA,5,9055,15,36,10,education,70,High risk
6,53,30,41-75,male,2,20,own,20,quite rich,30,NA,5,2835,30,24,10,furniture/equipment,145,Low risk
7,35,20,25-40,male,3,30,rent,10,little,10,moderate,20,6948,15,36,10,car,115,Medium risk
8,61,30,41-75,male,1,10,own,20,rich,20,NA,5,3059,15,12,20,radio/TV,120,Medium risk
9,28,20,25-40,male,3,30,own,20,little,10,moderate,20,5234,15,30,10,car,125,Medium risk
10,25,20,25-40,female,2,20,rent,10,little,10,moderate,20,1295,30,12,20,car,130,Medium risk
11,24,10,<25,female,2,20,rent,10,little,10,little,10,4308,15,48,10,business,85,High risk
12,22,10,<25,female,2,20,own,20,little,10,moderate,20,1567,30,12,20,radio/TV,130,Medium risk
13,60,30,41-75,male,1,10,own,20,little,10,little,10,1199,30,24,10,car,120,Medium risk
14,28,20,25-40,female,2,20,rent,10,little,10,little,10,1403,30,15,10,car,110,Medium risk
15,32,20,25-40,female,1,10,own,20,moderate,15,little,10,1282,30,24,10,radio/TV,115,Medium risk
16,53,30,41-75,male,2,20,own,20,NA,5,NA,5,2424,30,24,10,radio/TV,120,Medium risk
17,25,20,25-40,male,2,20,own,20,NA,5,little,10,8072,15,30,10,business,100,High risk
18,44,30,41-75,female,3,30,free,5,little,10,moderate,20,12579,5,24,10,car,110,Medium risk
19,31,20,25-40,male,2,20,own,20,quite rich,30,NA,5,3430,15,24,10,radio/TV,120,Medium risk
20,48,30,41-75,male,2,20,own,20,little,10,NA,5,2134,30,9,20,car,135,Medium risk
21,44,30,41-75,male,2,20,rent,10,quite rich,30,little,10,2647,30,6,20,radio/TV,150,Low risk
22,48,30,41-75,male,1,10,rent,10,little,10,little,10,2241,30,10,20,car,120,Medium risk
23,44,30,41-75,male,2,20,own,20,moderate,15,moderate,20,1804,30,12,20,car,155,Low risk
24,26,20,25-40,male,2,20,own,20,NA,5,NA,5,2069,30,10,20,furniture/equipment,120,Medium risk
25,36,20,25-40,male,1,10,own,20,little,10,little,10,1374,30,6,20,furniture/equipment,120,Medium risk
26,39,20,25-40,male,1,10,own,20,little,10,NA,5,426,30,6,20,radio/TV,115,Medium risk
27,42,30,41-75,female,2,20,rent,10,rich,20,rich,30,409,30,12,20,radio/TV,160,Low risk
28,34,20,25-40,male,2,20,own,20,little,10,moderate,20,2415,30,7,20,radio/TV,140,Low risk
29,63,30,41-75,male,2,20,own,20,little,10,little,10,6836,15,60,5,business,110,Medium risk
30,36,20,25-40,male,2,20,own,20,rich,20,moderate,20,1913,30,18,10,business,140,Low risk
31,27,20,25-40,male,2,20,own,20,little,10,little,10,4020,15,24,10,furniture/equipment,105,Medium risk
32,30,20,25-40,male,2,20,own,20,moderate,15,moderate,20,5866,15,18,10,car,120,Medium risk
33,57,30,41-75,male,1,10,rent,10,NA,5,NA,5,1264,30,12,20,business,110,Medium risk
34,33,20,25-40,female,3,30,own,20,little,10,rich,30,1474,30,12,20,furniture/equipment,160,Low risk
35,25,20,25-40,male,1,10,own,20,little,10,moderate,20,4746,15,45,10,radio/TV,105,Medium risk
36,31,20,25-40,male,2,20,free,5,little,10,NA,5,6110,15,48,10,education,85,High risk
37,37,20,25-40,male,2,20,own,20,little,10,rich,30,2100,30,18,10,radio/TV,140,Low risk
38,37,20,25-40,male,2,20,own,20,little,10,rich,30,1225,30,10,20,domestic appliances,150,Low risk
39,24,10,<25,male,2,20,own,20,little,10,moderate,20,458,30,9,20,radio/TV,130,Medium risk
40,30,20,25-40,male,3,30,own,20,quite rich,30,NA,5,2333,30,30,10,radio/TV,145,Low risk
41,26,20,25-40,male,2,20,own,20,quite rich,30,moderate,20,1158,30,12,20,radio/TV,160,Low risk
42,44,30,41-75,male,1,10,own,20,little,10,moderate,20,6204,15,18,10,repairs,115,Medium risk
43,24,10,<25,male,2,20,rent,10,moderate,15,little,10,6187,15,30,10,car,90,High risk
44,58,30,41-75,female,1,10,free,5,little,10,little,10,6143,15,48,10,car,90,High risk
45,35,20,25-40,female,3,30,own,20,little,10,NA,5,1393,30,11,20,car,135,Medium risk
46,39,20,25-40,male,2,20,own,20,quite rich,30,NA,5,2299,30,36,10,radio/TV,135,Medium risk
47,23,10,<25,female,0,5,rent,10,quite rich,30,little,10,1352,30,6,20,car,115,Medium risk
48,39,20,25-40,male,1,10,own,20,little,10,NA,5,7228,15,11,20,car,100,High risk
49,28,20,25-40,female,2,20,own,20,moderate,15,NA,5,2073,30,12,20,radio/TV,130,Medium risk
50,29,20,25-40,male,1,10,own,20,NA,5,moderate,20,2333,30,24,10,furniture/equipment,115,Medium risk
51,30,20,25-40,male,3,30,own,20,little,10,moderate,20,5965,15,27,10,car,125,Medium risk
52,25,20,25-40,male,2,20,own,20,little,10,NA,5,1262,30,12,20,radio/TV,125,Medium risk
53,31,20,25-40,male,2,20,own,20,NA,5,NA,5,3378,15,18,10,car,95,High risk
54,57,30,41-75,male,2,20,free,5,little,10,moderate,20,2225,30,36,10,car,125,Medium risk
55,26,20,25-40,male,1,10,own,20,NA,5,NA,5,783,30,6,20,car,110,Medium risk
56,52,30,41-75,male,3,30,own,20,NA,5,moderate,20,6468,15,12,20,radio/TV,140,Low risk
57,31,20,25-40,female,2,20,own,20,little,10,NA,5,9566,15,36,10,radio/TV,100,High risk
58,23,10,<25,female,3,30,own,20,little,10,rich,30,1961,30,18,10,car,140,Low risk
59,23,10,<25,female,1,10,rent,10,little,10,little,10,6229,15,36,10,furniture/equipment,75,High risk
60,27,20,25-40,male,2,20,own,20,little,10,moderate,20,1391,30,9,20,business,140,Low risk
61,50,30,41-75,male,2,20,own,20,NA,5,moderate,20,1537,30,15,10,radio/TV,135,Medium risk
62,61,30,41-75,male,3,30,free,5,little,10,moderate,20,1953,30,36,10,business,135,Medium risk
63,25,20,25-40,male,2,20,own,20,little,10,moderate,20,14421,5,48,10,business,105,Medium risk
64,26,20,25-40,female,2,20,own,20,little,10,NA,5,3181,15,24,10,radio/TV,100,High risk
65,48,30,41-75,male,2,20,own,20,NA,5,NA,5,5190,15,27,10,repairs,105,Medium risk
66,29,20,25-40,female,2,20,own,20,little,10,NA,5,2171,30,12,20,radio/TV,125,Medium risk
67,22,10,<25,male,2,20,own,20,rich,20,moderate,20,1007,30,12,20,car,140,Low risk
68,37,20,25-40,male,2,20,free,5,little,10,NA,5,1819,30,36,10,education,100,High risk
69,25,20,25-40,female,2,20,own,20,NA,5,NA,5,2394,30,36,10,radio/TV,110,Medium risk
70,30,20,25-40,female,2,20,own,20,little,10,NA,5,8133,15,36,10,car,100,High risk
71,46,30,41-75,male,1,10,rent,10,NA,5,NA,5,730,30,7,20,radio/TV,110,Medium risk
72,51,30,41-75,male,3,30,free,5,little,10,little,10,1164,30,8,20,vacation/others,135,Medium risk
73,41,30,41-75,female,1,10,own,20,little,10,moderate,20,5954,15,42,10,business,115,Medium risk
74,40,30,25-40,male,3,30,own,20,NA,5,little,10,1977,30,36,10,education,135,Medium risk
